plan_id,statement_id,statement,gold_elot,gold_lowered,translation_elot,translation_lowered,elot_correct,elot_equiv
4_3,3,The player believes that box 3 may contain a red key.,"believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(may))","believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), and(<(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), <(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box3",TRUE,TRUE
4_3,4,The player believes that the red key must be in box 3.,"believes(player, must(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(must))","believes(player, must(exists(and(key(K), iscolor(K, red)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), imply(not(inside(K, box1)), inside(K, box3)))), threshold(must))",TRUE,TRUE
4_3,5,The player believes there might be a key in box 2.,"believes(player, might(exists(key(K), inside(K, box2)))) ",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might))","believes(player, might(exists(key(K), inside(K, box2))))","and(>=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might)), exists(key(K), inside(K, box2)))",TRUE,TRUE
5_1,1,The player believes that box 3 might have a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might))",TRUE,TRUE
5_1,2,The player believes that there is a red key in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))",TRUE,TRUE
5_1,3,The player believes that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(>=(prob_of(player, empty(box1)), threshold(believes)), empty(box1))",TRUE,TRUE
5_1,4,The player believes that either box 2 or 3 has a red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3))))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), or(inside(K, box2), inside(K, box3)))), threshold(believes))",TRUE,TRUE
5_1,5,The player believes that the red key must be in box 3.,"believes(player, must(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(must))","believes(player, must(exists(and(key(K), iscolor(K, red)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), imply(not(inside(K, box1)), inside(K, box3)))), threshold(must))",TRUE,TRUE
5_2,1,The player believes that box 2 may contain a red key.,"believes(player, may(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(may))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box2)))",FALSE,TRUE
5_2,2,The player believes that box 3 is empty.,"believes(player, formula(empty(box3))) ",">=(prob_of(player, empty(box3)), threshold(believes))","believes(player, formula(empty(box3)))","and(>=(prob_of(player, empty(box3)), threshold(believes)), empty(box3))",TRUE,TRUE
5_2,3,The player knows that the boxes 1 and 2 were both empty.,"knows_that(player, formula(and(empty(box1), empty(box2)))) ","and(>=(prob_of(player, and(empty(box1), empty(box2))), threshold(believes)), and(empty(box1), empty(box2)))","knows_that(player, formula(and(empty(box1), empty(box2))))","and(>=(prob_of(player, and(empty(box1), empty(box2))), threshold(believes)), and(empty(box1), empty(box2)))",TRUE,TRUE
5_2,4,The player believes that the red key must be in box 3.,"believes(player, must(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(must))","believes(player, must(exists(and(key(K), iscolor(K, red)), inside(K, box3))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), imply(not(inside(K, box1)), inside(K, box3)))), threshold(must))",TRUE,TRUE
5_2,5,The player is uncertain about the contents of box 3.,"uncertain_about(player, color(C), exists(and(key(K), inside(K, box3)), iscolor(K, C))) ","forall(color(C), <(prob_of(player, exists(and(key(K), inside(K, box3)), iscolor(K, C))), threshold(uncertain)))","uncertain_about(player, exists(key(K), iscolor(K, blue)), inside(K, box3))","forall(color(C), <(prob_of(player, exists(and(key(K), inside(K, box3)), iscolor(K, C))), threshold(uncertain)))",FALSE,FALSE
6_1,1,The player believes that box 2 probably has a key.,"believes(player, likely(exists(key(K), inside(K, box2)))) ",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(likely))","believes(player, likely(exists(key(K), inside(K, box2))))",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(likely))",TRUE,TRUE
6_1,2,The player knows that box 2 is empty.,"knows_that(player, formula(empty(box2))) ","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))","knows_that(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))",TRUE,TRUE
6_1,3,The player knows that there is a blue or red key in box 1.,"knows_that(player, formula(exists(and(key(K), or(iscolor(K, blue), iscolor(K, red))), inside(K, box1)))) ","and(>=(prob_of(player, exists(and(key(K), or(iscolor(K, blue), iscolor(K, red))), inside(K, box1))), threshold(believes)), exists(and(key(K), or(iscolor(K, blue), iscolor(K, red))), inside(K, box1)))","knows_that(player, formula(or(exists(and(key(K), iscolor(K, blue)), inside(K, box1)), exists(and(key(K), iscolor(K, red)), inside(K, box1)))))","or(and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes)), exists(and(key(K), iscolor(K, blue)), inside(K, box1))), and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(believes)), exists(and",FALSE,TRUE
6_1,4,The player believes that either a red key or a blue key is in box 2.,"believes(player, formula(exists(or(and(key(K), iscolor(K, red)), and(key(K), iscolor(K, blue))), inside(K, box2)))) ",">=(prob_of(player, exists(or(and(key(K), iscolor(K, red)), and(key(K), iscolor(K, blue))), inside(K, box2))), threshold(believes))","believes(player, formula(or(exists(and(key(K), iscolor(K, red)), inside(K, box2)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))))","or(and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes)), exists(and(key(K), iscolor(K, red)), inside(K, box2))), and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), threshold(believes)), exists(and",FALSE,TRUE
6_1,5,The player believes that box 1 might hold a blue key.,"believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(might))",TRUE,TRUE
6_2,1,The player believes that box number 2 holds the red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))",TRUE,TRUE
6_2,2,The player believes that box 2 holds a blue key.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box2))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box2))), threshold(believes)), exists(and(key(K), iscolor(K, blue)), inside(K, box2)))",TRUE,TRUE
6_2,3,The player believes the blue key is in box 1.,"believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, blue)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, blue)), inside(K, box1))), threshold(believes))",TRUE,TRUE
6_2,4,The player believes that there is a red key in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))",TRUE,TRUE
6_2,5,The player believes there might be a key in Box 1 or Box 2.,"believes(player, might(exists(key(K), or(inside(K, box1), inside(K, box2))))) ",">=(prob_of(player, exists(key(K), or(inside(K, box1), inside(K, box2)))), threshold(might))","believes(player, might(exists(key(K), or(inside(K, box1), inside(K, box2)))))","<(prob_of(player, exists(key(K), or(inside(K, box1), inside(K, box2)))), threshold(might))",TRUE,TRUE
6_3,1,The player believes that the boxes are both empty.,"believes(player, formula(forall(box(B), empty(B)))) ",">=(prob_of(player, forall(box(B), empty(B))), threshold(believes))","believes(player, formula(and(empty(box1), empty(box2))))","and(>=(prob_of(player, empty(box1)), threshold(believes)), >=(prob_of(player, empty(box2)), threshold(believes)))",FALSE,TRUE
6_3,2,The player believes that box 1 might have a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))",TRUE,TRUE
6_3,3,The player believes the red key is in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(may))",TRUE,TRUE
6_3,4,The player believes that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(>=(prob_of(player, empty(box1)), threshold(believes)), empty(box1))",TRUE,TRUE
6_3,5,The player believes there might be a key in box 1 or box 2.,"believes(player, might(exists(key(K), or(inside(K, box1), inside(K, box2))))) ",">=(prob_of(player, exists(key(K), or(inside(K, box1), inside(K, box2)))), threshold(might))","believes(player, might(exists(key(K), or(inside(K, box1), inside(K, box2)))))","and(or(>=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might)), >=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might))), or(>=(prob_of(player, exists(key(K), inside(K, box1))), threshold(might)), >=(prob_of(player, exists(key(K), inside(K, box2",TRUE,TRUE
7_1,1,The player believes there might be a red key in box 3.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), exists(and(key(K), iscolor(K, red)), inside(K, box3)))",TRUE,TRUE
7_1,2,The player knows that box 2 is empty.,"knows_that(player, formula(empty(box2))) ","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))","knows_that(player, formula(empty(box2)))","and(>=(prob_of(player, empty(box2)), threshold(believes)), empty(box2))",TRUE,TRUE
7_1,3,The player knows that box 3 is empty.,"knows_that(player, formula(empty(box3))) ","and(>=(prob_of(player, empty(box3)), threshold(believes)), empty(box3))","knows_that(player, formula(empty(box3)))","or(and(>=(prob_of(player, exists(key(K), not(inside(K, box3)))), threshold(believes)), exists(key(K), not(inside(K, box3)))), and(>=(prob_of(player, not(exists(key(K), not(inside(K, box3))))), threshold(believes)), not(exists(key(K), not(inside(K, box3))",TRUE,TRUE
7_1,4,The player believes that there is a red key in box 2.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))",TRUE,TRUE
7_1,5,The player believes that box 1 might have a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))",TRUE,TRUE
7_2,1,The player knows that box 1 does not have the red key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1))))) ","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","knows_that(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))))",">=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))), threshold(believes))",TRUE,TRUE
7_2,2,The player believes that box number 2 holds the red key.,"believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))","believes(player, formula(exists(and(key(K), iscolor(K, red)), inside(K, box2))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), threshold(believes))",TRUE,TRUE
7_2,3,The player believes that box 1 might have a red key.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box1))))",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box1))), threshold(might))",TRUE,TRUE
7_2,4,The player believes there might be a key in box 2.,"believes(player, might(exists(key(K), inside(K, box2)))) ",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might))","believes(player, might(exists(key(K), inside(K, box2))))","and(>=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might)), exists(key(K), inside(K, box2)))",TRUE,TRUE
7_2,5,The player believes that box 2 is more likely to contain a red key than box 3.,"believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box2)), exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))))","believes(player, more(likely, exists(and(key(K), iscolor(K, red)), inside(K, box2)), exists(and(key(K), iscolor(K, red)), inside(K, box3))))",">(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box2))), prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))))",TRUE,TRUE
7_3,1,The player believes there might be a red key in box 3.,"believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box3)))) ",">=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might))","believes(player, might(exists(and(key(K), iscolor(K, red)), inside(K, box3))))","and(>=(prob_of(player, exists(and(key(K), iscolor(K, red)), inside(K, box3))), threshold(might)), exists(and(key(K), iscolor(K, red)), inside(K, box3)))",TRUE,TRUE
7_3,2,The player believes that box 1 is empty.,"believes(player, formula(empty(box1))) ",">=(prob_of(player, empty(box1)), threshold(believes))","believes(player, formula(empty(box1)))","and(>=(prob_of(player, empty(box1)), threshold(believes)), empty(box1))",TRUE,TRUE
7_3,3,The player believes that box 2 would have a red key if box 3 is empty.,"believes(player, formula(imply(empty(box3), exists(and(key(K), iscolor(K, red)), inside(K, box2))))) ",">=(prob_of(player, imply(empty(box3), exists(and(key(K), iscolor(K, red)), inside(K, box2)))), threshold(believes))","believes(player, formula(imply(empty(box3), exists(and(key(K), iscolor(K, red)), inside(K, box2)))))",or(or(or(or(or(or(or(and(or(and(or(and(and(or(or(and(or(and(and(and(or(and(or(and(or(and(or(and(or(and(and(or(and(and(or(and(and(or(and(and(or(and(and(or(and(and(or(and(or(and(and(or(and(and(or(and(and(or(and(or(and(or(and(and(or(and(and(or(and(and(or(and(or(and(and(or(and(and(or(and,TRUE,TRUE
7_3,4,The player believes there might be a key in box 2.,"believes(player, might(exists(key(K), inside(K, box2)))) ",">=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might))","believes(player, might(exists(key(K), inside(K, box2))))","and(>=(prob_of(player, exists(key(K), inside(K, box2))), threshold(might)), exists(key(K), inside(K, box2)))",TRUE,TRUE
7_3,5,The player knows that box 1 does not have the red key.,"knows_that(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1))))) ","and(>=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))), threshold(believes)), not(exists(and(key(K), iscolor(K, red)), inside(K, box1))))","knows_that(player, formula(not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))))",">=(prob_of(player, not(exists(and(key(K), iscolor(K, red)), inside(K, box1)))), threshold(believes))",TRUE,TRUE
